it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.5,12.566048364114,1.72778455397708e-06,0.0225427070819793,6.2846870552892,6.30722976237118,3.54923934110848
2,1,12.5652689050937,9.32179690936864e-06,0.0064583532012014,6.29853707174388,6.30499542494508,3.54899420366555
3,1.5,12.5644365898095,2.28529138201269e-05,8.9827583622095e-06,6.31016043535168,6.31016941811004,3.54871413475743
4,2,12.5639211424712,3.78016048069133e-05,0.00447158294491014,6.30938834675444,6.31385992969935,3.548497535691
5,2.5,12.5639456750078,5.3429301319012e-05,0.00793353692448823,6.30418917752959,6.31212271445408,3.54840805292838
6,3,12.5645325086021,6.34664997566341e-05,0.00452370193429307,6.30574002014742,6.31026372208172,3.54846486806272
7,3.5,12.5654572821039,6.50241503302248e-05,0.000327975121551017,6.31241929887823,6.31274727399978,3.54863307562393
8,4,12.5663396155453,5.41054287042157e-05,0.00103067496931365,6.31543772538135,6.31646840035067,3.54884335234341
9,4.5,12.5668439156346,3.79447099499668e-05,0.0036467016343783,6.31300936811606,6.31665606975044,3.5490230091892
10,5,12.5668521017326,2.79714788977291e-05,0.00324563479147652,6.31075475802446,6.31400039281594,3.54912046342089
11,5.5,12.5664667436942,2.26464471269158e-05,0.000780699441919043,6.311490108161,6.31227080760292,3.54912462702971
12,6,12.5659738645931,2.19106349317181e-05,9.56221998563768e-05,6.31232526409287,6.31242088629272,3.54908494587773
13,6.5,12.5656033709381,2.9630593406865e-05,0.00141801757788756,6.31109307327191,6.3125110908498,3.5490442792067
14,7,12.5654970591178,3.76279301575298e-05,0.0019629689282344,6.3098947644976,6.31185773342584,3.54902900998266
15,7.5,12.5656853534924,3.97415291554544e-05,0.000881849962161706,6.31095037047717,6.31183222043934,3.54906427241835
16,8,12.5660271147065,4.21169230350883e-05,1.26498571856301e-05,6.31300311440808,6.31301576426526,3.54912557897762
17,8.5,12.5663394506834,4.13372875416206e-05,0.000419410339144709,6.31368622946345,6.3141056398026,3.54919136532295
18,9,12.566466790282,3.34878100082319e-05,0.0010044356732945,6.31295414369662,6.31395857936991,3.54922638296382
19,9.5,12.5663765393211,2.73858474128399e-05,0.00071757622280781,6.31233341633012,6.31305099255293,3.54922325628063
20,10,12.5661334008511,2.99138904875766e-05,0.000106743547605027,6.31232916736825,6.31243591091586,3.54918287856037
